,OXO-5FI661A Augusta,OXO-5FI696 Augusta,OXO-5FIC132 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC602 Augusta,OXO-5FIC603 Augusta,OXO-5FIC606C Augusta,OXO-5FIC607 Augusta,OXO-5FIC609A Augusta,OXO-5FIC609B Augusta,OXO-5FIC611A Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5FIC618A Augusta,OXO-5FIC618B Augusta,OXO-5FIC618C Augusta,OXO-5FIC618D Augusta,OXO-5FIC622A Augusta,OXO-5FIC622B Augusta,OXO-5FIC622C Augusta,OXO-5FIC636A Augusta,OXO-5FIC636B Augusta,OXO-5FIC636C Augusta,OXO-5FQI691B Augusta,OXO-5LI633B Augusta,OXO-5LI650F Augusta,OXO-5LI651E Augusta,OXO-5LI651F Augusta,OXO-5LI652E Augusta,OXO-5LI652F Augusta,OXO-5LI653E Augusta,OXO-5LI653F Augusta,OXO-5LI654E Augusta,OXO-5LI655F Augusta,OXO-5LI656F Augusta,OXO-5LI657E Augusta,OXO-5LI657F Augusta,OXO-5LI658E Augusta,OXO-5LI658F Augusta,OXO-5PIC605A Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC002 Augusta,OXO-5TIC601 Augusta,OXO-5TIC602 Augusta,OXO-5TIC603 Augusta,OXO-5TIC604 Augusta,OXO-5TIC605 Augusta,OXO-5TIC606 Augusta,OXO-5TIC607 Augusta,OXO-5TIC659 Augusta,OXO-_5FI658A Augusta,OXO-_5FI659A Augusta,OXO-_5FI660A Augusta,OXO-_5FI662A Augusta,OXO-5FI635C Augusta
OXO-5FI661A Augusta,3.3440441843062882,0.7183676137680495,0.4610065007563722,0.5448846679168193,0.5757024262759174,0.3860637034002061,0.0,0.00548388588517934,0.0,0.0,0.5205322415309972,0.07960681837559047,0.14991529794686942,0.8321749501708191,0.5641734730713073,0.6035944894307028,0.6043902657477802,0.0860928879918137,0.07906137686292425,0.8231082784507837,0.3749366597835584,0.2453199474129546,0.17876274154534189,0.4063969788610762,0.9010423668128391,0.48287451394528613,0.021056950119263007,0.8432465831681304,0.01567849016697398,0.0,0.0,0.9389163021068461,0.9003496961516002,0.5776298144900753,0.7002315459305364,0.8096429665109723,0.5497392830357053,0.2206144088308708,0.36280715149066234,0.5519077326991493,0.0811463159152539,0.7141893570042099,0.05112605842980722,0.6834409190097137,0.6684274820227096,0.3035491059154949,0.6715304500614021,0.32487285454144077,0.6311299919263669,0.646122670791319,0.0,1.7935410681414075,2.062406750132947,1.648086743269396,1.6037811723504007,0.3224933626547699
OXO-5FI696 Augusta,0.7183676137680495,3.3440441843062882,0.5021343720028795,0.4352373632931834,0.4493563562166156,0.7895705002283879,0.0,0.17738006072768187,0.0,0.0,0.7279297731220757,0.19454262071861894,0.11992938327297686,0.8275131305819077,0.786673725837657,1.0889993102150628,0.9493112489627573,0.19404196658625184,0.039195287448103855,0.6906800915946474,0.5375004414017139,0.37323886033142806,0.14948229880252084,1.29565418587296,0.972533069821834,0.2446432278268973,0.02916375957775763,0.9901302745011704,0.384769241495178,0.0,0.0,1.1817919356121633,1.1693844167469996,0.8514330051930772,0.9770057685207625,0.9388251129675558,0.5769609927100108,0.275089242147311,0.2925537600457302,0.564625762383181,0.0719187224106248,0.799268571220006,0.059529628287979364,0.4438370975089625,0.7843897041024586,0.6235953815888076,0.6971894294795429,0.4288554154048967,0.5069705517789664,0.6159230099769655,0.015445833300938183,0.4976674354209636,0.5573434974254163,0.4479920612076107,0.5853289186433162,0.4495790806354947
OXO-5FIC132 Augusta,0.46100650075637195,0.5021343720028795,3.3248775176396212,0.16493898870791357,0.31695974431115936,0.40311382174684196,0.0,0.06205144229909387,0.0,0.0,0.4387805824616755,0.13068206652829684,0.21465548785235233,0.6546623582665527,0.6093220671861863,0.5389375533593384,0.4294389128223983,0.06724700994524846,0.09259962723116022,0.5277731783625483,0.19778198256280333,0.25804630804529793,0.24048862609670696,0.47526481878281124,1.1456664868398891,0.316011288472112,0.0054673502803206375,0.8042708837612764,0.05980157774110184,0.05372734306044036,0.0,0.6948034134672256,0.7453454266060333,0.8176942790218704,0.39537537057990035,0.9295098738708665,0.19924390816616322,0.0759151893694805,0.19072776445405837,0.3541298479178896,0.11252773443008124,0.43573705777622784,0.021858578654991412,0.19466420955575847,0.34371431148929,0.318789784862588,0.31434265690117646,0.19072095826502888,0.29998923672657085,0.18873816896749407,0.0,0.46311591010166975,0.38296688370777887,0.5330885152681508,0.41411938405080373,0.1688117838501697
OXO-5FIC600 Augusta,0.5448846679168193,0.4352373632931834,0.16493898870791357,3.3440441843062887,0.6071069998576522,0.2860589973741745,0.0,0.22645425708732025,0.0,0.0,0.4218085270566383,0.3030130912727427,0.10433913638870074,0.5233625703959857,0.45295194838991515,0.4777091351279421,0.446210841407916,0.01769566870501693,0.10937429511499053,0.4168961386524286,0.2617586483450087,0.3000379439699663,0.20594864660164536,0.44539718940588013,0.6998217778024896,0.4181635216606452,0.0,0.767037517407676,0.18442825878635682,0.06300806372613543,0.0,0.9306740133619145,0.925454927456133,0.5102767047582604,0.46604432263567164,0.7837917050823688,0.5326496737440825,0.1544090951688757,0.4059420611972935,0.600479814163299,0.0,0.46807354212052,0.0,0.6421822507255674,0.6548881100545376,0.32475209473829736,0.5325504384065813,0.23704723379398507,0.5314562569196868,0.5866974742397213,0.0,0.5357421812827874,0.597373367477041,0.6068660959084968,0.47011324398937093,0.22444570779346584
OXO-5FIC601 Augusta,0.5757024262759174,0.4493563562166156,0.3172627746141905,0.6071069998576522,3.3440441843062882,0.19738203818206035,0.0,0.21380691620330605,0.0,0.0,0.48707873372801114,0.17198843696586952,0.12166385498527887,0.7626538359187749,0.25199769985443865,0.5437235143837023,0.5762062706939797,0.0343662920777521,0.07984204135607298,0.5173406991649991,0.2517263120540143,0.2985190285714583,0.15923262596292087,0.45015653253454513,0.7918159793767225,0.5780658016377114,0.0,0.921518628661923,0.14058834509437768,0.0785156369442408,0.0,0.8910783481798363,0.878246313663708,0.6221532441768698,0.4823224005418678,0.8312754366891577,0.3616865626591119,0.46589270187895515,0.224812527501971,0.6794800289255576,0.03605041480304605,0.5608945265921661,0.0,0.5366120349755348,0.842669962719989,0.4427559918491406,0.7320449863174869,0.3160562730007155,0.5695282703793634,0.6114835211187746,0.029688838099330983,0.6146990757292172,0.6615409141923014,0.561167712409057,0.5247428046064946,0.14151032524820595
OXO-5FIC602 Augusta,0.38659001918967983,0.790126055783944,0.4069373228071851,0.2845853131636491,0.19723562329426647,3.3158775176396214,0.0,0.0,0.0016340448305447453,0.0,0.34072785822855467,0.08175981986264436,0.05688798346224022,0.7225892886249419,0.7067063527861484,0.6354590903109281,0.9282526909990871,0.0278738156282472,0.04977660040336973,0.6404080146726252,0.4405950827935676,0.1283206069716063,0.20168236457465083,0.7644643511220572,0.8779315178921268,0.3048817854857755,0.0,0.5889878693329456,0.2172410150105022,0.007140529070350787,0.0017735516448764699,0.8965387834392882,0.8477002866758332,0.9898143592056856,0.48988820317611603,0.5977627226451858,0.39979568426247614,0.06643857416746624,0.32285163823709206,0.15877937071306736,0.08655397690646582,0.6001668818962771,0.11190050387631878,0.4931422284670437,0.41216042693170296,0.43691271212164606,0.5272473681603813,0.46678493226444706,0.293677690446684,0.32266446800820736,0.04942681283308836,0.4000946928887772,0.29600428557126257,0.22619854905646308,0.26133447807162424,0.23703875759469506
OXO-5FIC603 Augusta,0.0,0.0,0.0,0.0,0.0,0.03266467406360174,0.0,9.098096507997866e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02410173326904652,0.061758276377319454,0.0,0.0,0.0,0.003651299039554523,0.0,0.0,0.0,0.01651225009269952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXO-5FIC606C Augusta,0.002715769943150814,0.17460043109805223,0.0653252518229035,0.22991928330720324,0.21546261181488413,0.0,0.0,3.274210850972955,0.0002030509173351902,0.00048680272166112815,0.16803865928098016,0.930867683683843,0.41226737378913425,0.11113457322645903,0.18458766722227526,0.3346922616355048,0.2829879443540242,0.0,0.2634529608783911,0.11092037189579118,0.0997983079454916,0.28667251072721633,0.21399862744649223,0.18618314648449052,0.22174615693508004,0.10517833377436103,0.0,0.3426198145729211,0.9993640649341393,0.13472133423354826,0.0,0.521512871828056,0.5037683944987128,0.22333239290162954,0.3583912660593973,0.3129661801273955,0.05696799194074087,0.36131499244587184,0.39002034950893183,0.5130491750436605,0.03794190588780033,0.0,0.0,0.13080509326865108,0.29401656234513895,0.10261110382122984,0.10023095621715106,0.10352044769964674,0.11876887817234927,0.27498052096958636,0.08627590325900325,0.19054705849662223,0.12430930027710563,0.07594250797028224,0.08058528183866409,0.0
OXO-5FIC607 Augusta,0.0,0.0,0.0,0.0,0.0,0.00010101010100815877,0.0,0.0,0.0,0.0,0.0,0.0,0.016003910368888263,0.0,0.0,0.0,0.0,0.0,0.030840459316540336,0.0,0.0,0.033288856876993345,0.07498154429143411,0.0,0.0,0.010532440643501673,0.0,0.0,0.0,0.0,0.026820522283678816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXO-5FIC609A Augusta,0.0,0.0,0.0,0.0,0.0,0.0017544757999217175,0.0,0.002326002594866816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015245708885019305,0.0,0.0,0.03050508193586765,0.0,0.0,0.0,0.0,0.15172970481361503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
