,OXO-5FI661A Augusta,OXO-5FI696 Augusta,OXO-5FIC132 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC602 Augusta,OXO-5FIC603 Augusta,OXO-5FIC606C Augusta,OXO-5FIC607 Augusta,OXO-5FIC609A Augusta,OXO-5FIC609B Augusta,OXO-5FIC611A Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5FIC618A Augusta,OXO-5FIC618B Augusta,OXO-5FIC618C Augusta,OXO-5FIC618D Augusta,OXO-5FIC622A Augusta,OXO-5FIC622B Augusta,OXO-5FIC622C Augusta,OXO-5FIC636A Augusta,OXO-5FIC636B Augusta,OXO-5FIC636C Augusta,OXO-5FQI691B Augusta,OXO-5LI633B Augusta,OXO-5LI650F Augusta,OXO-5LI651E Augusta,OXO-5LI651F Augusta,OXO-5LI652E Augusta,OXO-5LI652F Augusta,OXO-5LI653E Augusta,OXO-5LI653F Augusta,OXO-5LI654E Augusta,OXO-5LI655F Augusta,OXO-5LI656F Augusta,OXO-5LI657E Augusta,OXO-5LI657F Augusta,OXO-5LI658E Augusta,OXO-5LI658F Augusta,OXO-5PIC605A Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC002 Augusta,OXO-5TIC601 Augusta,OXO-5TIC602 Augusta,OXO-5TIC603 Augusta,OXO-5TIC604 Augusta,OXO-5TIC605 Augusta,OXO-5TIC606 Augusta,OXO-5TIC607 Augusta,OXO-5TIC659 Augusta,OXO-_5FI658A Augusta,OXO-_5FI659A Augusta,OXO-_5FI660A Augusta,OXO-_5FI662A Augusta,OXO-5FI635C Augusta
OXO-5FI661A Augusta,3.344044184306288,0.7183676137680495,0.4610065007563722,0.5448846679168193,0.5757024262759174,0.3871455747452348,0.0,0.005169858970066166,0.0,0.0,0.5205322415309972,0.07960681837559047,0.12469284236851363,0.8321749501708191,0.5641734730713073,0.6035944894307028,0.6043902657477802,0.0860928879918137,0.08002668606352703,0.8231082784507837,0.3749366597835584,0.2447952453205282,0.16840342017750043,0.4063969788610762,0.9055148597173011,0.48287451394528613,0.014711712024023882,0.842337492259039,0.01567849016697398,0.0,0.0,0.9389163021068461,0.9003496961516002,0.5776298144900753,0.7002315459305364,0.8096429665109723,0.5494551921266146,0.2206144088308708,0.36353092771443896,0.5519077326991493,0.0811463159152539,0.7141893570042099,0.05112605842980722,0.6834409190097137,0.6684274820227096,0.3035491059154949,0.6715304500614021,0.32487285454144077,0.6311299919263669,0.646122670791319,0.0,1.7935410681414075,2.062406750132947,1.648086743269396,1.6037811723504007,0.3224933626547699
OXO-5FI696 Augusta,0.7183676137680495,3.344044184306288,0.5021343720028795,0.4352373632931834,0.4493563562166156,0.7895705002283879,0.0,0.16701206555860004,0.0,0.0,0.7279297731220757,0.19454262071861894,0.12599329595731978,0.8275131305819077,0.786673725837657,1.0889993102150628,0.9493112489627573,0.19404196658625184,0.03247827427325545,0.6906800915946474,0.5375004414017139,0.3647678939863197,0.13208945468366284,1.29565418587296,0.9635679516067159,0.2446432278268973,0.035040686305715774,0.9901302745011704,0.384769241495178,0.0,0.0,1.1817919356121633,1.1693844167469996,0.8514330051930772,0.9770057685207625,0.9388251129675558,0.5769683187173369,0.275089242147311,0.293438375430346,0.564625762383181,0.0719187224106248,0.799268571220006,0.059529628287979364,0.4438370975089625,0.7843897041024586,0.6235953815888076,0.6971894294795429,0.4288554154048967,0.5069705517789664,0.6159230099769655,0.015445833300938183,0.4976674354209636,0.5573434974254163,0.4479920612076107,0.5853289186433162,0.4495790806354947
OXO-5FIC132 Augusta,0.46100650075637195,0.5021343720028795,3.3315441843062876,0.16493898870791357,0.31695974431115936,0.4038897037595657,0.0,0.06649924449689615,0.0,0.0,0.4387805824616755,0.13095984430607466,0.2106595671064313,0.6546623582665527,0.6093220671861863,0.5392316710063969,0.4297514128223985,0.06724700994524846,0.09153201103196462,0.5282079609712447,0.19747895225977286,0.2589351969341869,0.23627127296257866,0.4750322606432762,1.139237915411318,0.316011288472112,0.0054673502803206375,0.8042708837612764,0.05980157774110184,0.05372734306044036,0.0,0.6948034134672256,0.745549508238686,0.8160276123552042,0.39561927301892497,0.9295098738708665,0.19924390816616322,0.07568791664220798,0.19272776445405837,0.3541298479178896,0.11252773443008124,0.43577107138167026,0.020430007226419855,0.19466420955575847,0.34371431148929,0.318789784862588,0.31434265690117646,0.1910239885680589,0.29998923672657085,0.18873816896749407,0.0,0.46311591010166975,0.38296688370777887,0.5330885152681508,0.41411938405080373,0.1688117838501697
OXO-5FIC600 Augusta,0.5448846679168193,0.4352373632931834,0.16493898870791357,3.344044184306288,0.6071069998576522,0.28658531316364844,0.0,0.22896362183453745,0.0,0.0,0.4218085270566383,0.3030130912727427,0.08474665567842754,0.5233625703959857,0.45295194838991515,0.4777091351279421,0.446210841407916,0.01769566870501693,0.1088342667830644,0.4168961386524286,0.2617586483450087,0.3023116712638214,0.1984892909351803,0.44539718940588013,0.6971463091340682,0.4181635216606452,0.0,0.7657875174076758,0.18442825878635682,0.06300806372613543,0.0,0.9306740133619145,0.925454927456133,0.5102767047582604,0.46604432263567164,0.7837917050823688,0.5326496737440825,0.1544090951688757,0.40515744581267743,0.600479814163299,0.0,0.46807354212052,0.0,0.6421822507255674,0.6548881100545376,0.32475209473829736,0.5325504384065813,0.23704723379398507,0.5314562569196868,0.5866974742397213,0.0,0.5357421812827874,0.597373367477041,0.6068660959084968,0.47011324398937093,0.22444570779346584
OXO-5FIC601 Augusta,0.5757024262759174,0.4493563562166156,0.3172627746141905,0.6071069998576522,3.344044184306288,0.1984137842138063,0.0,0.21388267377906356,0.0,0.0,0.48707873372801114,0.17198843696586952,0.09341112952502595,0.7626538359187749,0.25199769985443865,0.5437235143837023,0.5762062706939797,0.0343662920777521,0.06748572862926006,0.5173406991649991,0.2517263120540143,0.2991856952381249,0.16397498576918634,0.45015653253454513,0.7924985190592624,0.5780658016377114,0.0,0.921518628661923,0.14058834509437768,0.0785156369442408,0.0,0.8910783481798363,0.878246313663708,0.6221532441768698,0.4823224005418678,0.8312754366891577,0.36305103152358065,0.46589270187895515,0.22455657512101856,0.6794800289255576,0.03605041480304605,0.5608945265921661,0.0,0.5366120349755348,0.842669962719989,0.4427559918491406,0.7320449863174869,0.3160562730007155,0.5695282703793634,0.6114835211187746,0.029688838099330983,0.6146990757292172,0.6615409141923014,0.561167712409057,0.5247428046064946,0.14151032524820595
OXO-5FIC602 Augusta,0.38606370340020635,0.790126055783944,0.405087505957368,0.2860589973741745,0.1984137842138063,3.3208775176396212,0.0,0.0,0.0015057830754638957,0.0,0.34029861846247256,0.08227652537934915,0.06664816997389478,0.7240707701064233,0.7060813527861485,0.6354590903109281,0.9247822627918165,0.0278738156282472,0.03945399113992254,0.6404080146726252,0.4400785992770837,0.1211017800468972,0.22690310761222143,0.7640643511220577,0.9122397301454663,0.28735560517663084,0.0,0.5896128693329459,0.21643199644286293,0.005140529070351008,0.0016423379612602318,0.8963721167726217,0.8482558422313888,0.9902905496818759,0.48988820317611603,0.5977627226451858,0.4009067953735874,0.06643857416746624,0.32910163823709215,0.16077937071306714,0.08693859229108147,0.5996113263407219,0.11398383720965244,0.4925866729114885,0.4124729269317031,0.43691271212164606,0.5275892485022613,0.46678493226444706,0.29249138250175477,0.32127791338635925,0.05071891941931206,0.3998089786030632,0.2965306013607365,0.22619854905646308,0.2617048484419944,0.23815177129332454
OXO-5FIC603 Augusta,0.0,0.0,0.0,0.0,0.0,0.006893517612300504,0.0015227646615723067,0.004783081513435983,0.0,0.04688863503838281,0.0,0.0,0.049561279188258034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027756108049652006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXO-5FIC606C Augusta,0.004319725484177361,0.1702713712689925,0.06485205834971053,0.22343239125824033,0.21496261181488396,0.0,0.001464251378378023,3.2802108509729546,0.0,0.000202020202018538,0.16693437180942938,0.9264807789219383,0.4255551979574941,0.11017346451055499,0.1798313540909624,0.33403506101448865,0.29018127471647226,0.0,0.25840848832122987,0.10605493525171639,0.09845037347255747,0.27824840166634246,0.21742311063583797,0.18437301217435653,0.21063119468335278,0.11592833377436085,0.0049102913452507835,0.34754070829272754,1.0000466046166792,0.1315454056449301,0.0,0.5153535616937459,0.5004923002226187,0.22353874210797908,0.35998928948407194,0.30886855471072927,0.05676293719156833,0.3640844232066818,0.3881709905345736,0.5166371513947952,0.041591451099143306,0.0,0.0,0.1269251913078664,0.29238287250556727,0.09839378355979189,0.0910903931158491,0.1039955877556693,0.12354102677538048,0.27573237788460103,0.0832203477034481,0.1977534077029719,0.1240216018644067,0.0796137392444547,0.0810438875031525,0.0
OXO-5FIC607 Augusta,0.0,0.0,0.0,0.0,0.0,0.0030148432854055773,0.01452955060466099,0.012146260381401541,0.033152915256582816,0.02601323329538019,0.0,0.0,0.03551121814180758,0.0,0.0,0.0,0.0,0.0,0.018512466466191535,0.0,0.0,0.005249295145917099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0283260260560807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXO-5FIC609A Augusta,0.0,0.0,0.0,0.0,0.0,0.003298142300495188,0.04323466469540227,0.00020202020201876003,0.05918390675339591,0.034358667582540026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004671749992570806,0.0,0.0,0.037047802399007956,0.0,0.0,0.005369282201469261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
