Date,OXO-5FI635C Augusta,OXO-5FI661A Augusta,OXO-5FI696 Augusta,OXO-5FIC132 Augusta,OXO-5FIC600 Augusta,OXO-5FIC601 Augusta,OXO-5FIC602 Augusta,OXO-5FIC603 Augusta,OXO-5FIC606A Augusta,OXO-5FIC606C Augusta,OXO-5FIC607 Augusta,OXO-5FIC609A Augusta,OXO-5FIC609B Augusta,OXO-5FIC611A Augusta,OXO-5FIC611B Augusta,OXO-5FIC612A Augusta,OXO-5FIC612B Augusta,OXO-5FIC618A Augusta,OXO-5FIC618B Augusta,OXO-5FIC618C Augusta,OXO-5FIC618D Augusta,OXO-5FIC622A Augusta,OXO-5FIC622B Augusta,OXO-5FIC622C Augusta,OXO-5FIC636A Augusta,OXO-5FIC636B Augusta,OXO-5FIC636C Augusta,OXO-5FQI691B Augusta,OXO-5LI633B Augusta,OXO-5LI650F Augusta,OXO-5LI651E Augusta,OXO-5LI651F Augusta,OXO-5LI652E Augusta,OXO-5LI652F Augusta,OXO-5LI653E Augusta,OXO-5LI653F Augusta,OXO-5LI654E Augusta,OXO-5LI654F Augusta,OXO-5LI655F Augusta,OXO-5LI656F Augusta,OXO-5LI657E Augusta,OXO-5LI657F Augusta,OXO-5LI658E Augusta,OXO-5LI658F Augusta,OXO-5PIC605A Augusta,OXO-5RIC606_Y Augusta,OXO-5TIC002 Augusta,OXO-5TIC601 Augusta,OXO-5TIC602 Augusta,OXO-5TIC603 Augusta,OXO-5TIC604 Augusta,OXO-5TIC605 Augusta,OXO-5TIC606 Augusta,OXO-5TIC607 Augusta,OXO-5TIC659 Augusta,OXO-_5FI658A Augusta,OXO-_5FI659A Augusta,OXO-_5FI660A Augusta,OXO-_5FI662A Augusta
2019-11-01 00:00:00,5859.125647989908,23345.857389322915,9830.2001953125,4.450549450549451,2076.1740926106777,67.20829763412476,5069.174365644695,0.0,,1.2020293454329176,0.0,0.0,2449.587880536545,2213.155135091147,,0.0093625550507567,8.99783898188063,2746.4690728305795,3631.420942826705,4126.81956998967,2224.1600992838557,0.0001204371459657,2451.7992594401053,2791.4242248535165,493.6236476182873,0.0,2710.863008626303,74367.75,1556.5173319327728,5182.656062825521,2077.0780183167017,2020.465755208335,3.763240494018744,0.0,1551.1875447591149,1233.3002576591557,5639.868680826823,,5477.986116536458,5704.8173787092965,8888.68929170971,1303.0608235677084,8948.725471047794,5676.722192382813,184.0268872578939,0.1999661037077506,298.01326232397264,154.9527282714844,132.09182133950503,133.99630005891663,130.57891883850093,133.00776351800488,134.032266568737,130.89953890713784,298.0299097696941,21719.63061523437,22870.97631835937,22026.824772135416,22036.315559895836
2019-11-01 01:00:00,5950.17383720461,23346.553466796875,9384.63299153646,4.410112359550562,2070.199283854168,67.2043917020162,5068.014147949219,0.0,,1.15815966129303,0.0,0.0,2449.2077596028657,2212.303828938803,,0.0088527129555586,9.000414752960205,2639.0375203450526,3632.921649169922,4013.0071004231777,2178.4199259440115,0.0,2395.6889058430997,3095.785913085938,151.9348144267411,0.0,2713.375058513043,74367.75,1556.31255086263,4031.091849772136,2075.2185906024024,2018.6548299153665,3.680629941595703,0.0,1551.4751739501953,1229.5563092912953,5665.735461425781,,5393.721354166667,5702.490563964844,8889.842854817709,1295.1501607259124,8948.003857421874,5658.071918582128,183.9532948811849,0.199926916634043,297.98779296875006,155.02759789218425,132.06389617919925,133.99458761776205,130.64050549418982,132.96660041809085,134.0350761413575,130.84978004263235,298.0843302408855,21727.62257486979,22879.20545247396,22042.94819335937,22056.644970703124
2019-11-01 02:00:00,6379.102249786633,23430.33654477416,9233.277262369793,4.285714285714286,2067.933827632616,67.03197421546744,5069.603649902344,0.0,,1.0704202930132551,0.0,0.0,2450.993809000652,2209.858933905594,,0.0091926076856907,8.999083002408346,2642.8009867350265,3633.22001546224,4012.311671956381,2178.2493455389977,0.0004327776023009,2497.692024739584,3201.065022786459,61.61237202451896,0.0,2710.63129272461,74367.75,1556.182698567708,2887.6722473144537,2074.528463924633,2016.352590513624,4.25001903573672,0.0,1550.438708496094,1228.4959817681454,5691.682605081353,,5315.581415769433,5702.92969156901,8890.88755580357,1292.2070978338088,8946.228759765625,5654.247090657552,183.96343023126775,0.199966339879677,298.04094441731775,155.0708040599981,132.03548245470068,134.00810623168948,130.67560167549064,133.0350943321039,134.0019937310338,130.743082724327,297.93087768554693,21836.766659007357,22970.057215073528,22156.774258140755,22105.21868434874
2019-11-01 03:00:00,6337.343084161932,23384.694742838543,9223.139013671876,4.775280898876405,2062.488529426008,66.80880973752865,5061.608939178719,0.0,,1.0440984825293225,0.0,0.0,2448.448742675782,2207.2248111441127,,0.0093059059290681,8.997775546709697,2639.211299641928,3632.237143961589,4012.39565226237,2177.2428150019377,0.0001302666573909,2574.262611897788,3200.161602783204,266.7464046476979,0.0,2710.523927815756,74367.75,1555.6632893880203,1790.506084187826,2074.3069193522147,2015.3231760660824,3.3631519993146264,0.0,1549.82541402181,1227.064205906973,5717.262089029948,,5234.000996907552,5703.899572753906,8891.812736002605,1279.6908092338515,8944.691470816115,5636.469763491334,183.97538782755532,0.2000087656019148,297.96224017182664,154.9153493245443,132.02889633178714,134.0083116263398,130.61346181233722,133.00055211385092,133.97911453247076,130.76075719197598,298.052582795955,21783.45050455729,22920.952018229167,22088.35694986979,22064.17840169271
2019-11-01 04:00:00,6183.590301513672,23357.08567708333,9104.168619791666,4.388888888888889,2055.1622233072926,66.35436922709147,5004.132636062237,0.0,,1.0440984825293225,0.0,0.0,2449.4055399576832,2205.8527319130794,,0.0090226603206247,8.998596660296123,2641.9315287272143,3633.177126057943,4013.391566975912,2159.428598099397,0.0,2689.8901977539067,3194.7612325032555,0.0,0.0,2719.3542561848967,74367.75,1555.3603006998694,772.5199017842613,2074.1062637203004,2014.3164754231768,4.888687934757265,0.0,1549.5648919728176,1226.9157562255868,5742.96991120667,,5155.371477111312,5706.698621513429,8892.766536996385,1272.1143516351365,8943.11950991334,5616.930510717975,183.9687121073405,0.1999479009459416,298.0298563639324,155.04050572713217,132.07033292912269,134.00209808349615,130.6145490010579,133.00474828084307,134.00049238445385,130.81444994608566,298.0399276733399,21748.71513671875,22895.31212565104,22073.622298177084,22053.480891927084
2019-11-01 05:00:00,6348.371973887211,23446.800071022728,9838.639911042545,5.576923076923077,2056.738922119141,66.95153617858887,5004.322265625,0.0,,1.0440984825293225,0.0,0.0,2451.688926188152,2205.2911689695256,,0.0082862217386718,8.998671094576517,2645.3323451450897,3630.492944541098,4014.2168809906775,2166.405183919272,0.0,2749.5834591649163,3100.310658772787,0.0,0.0,2783.075321451824,74367.75,1555.2464447021478,45.23274208517636,2073.033184660584,2015.6966491186329,4.146543003931767,0.0,1549.543539095326,1226.8148905436212,5768.798046875,,5074.701947380515,5711.155646829044,8893.054326418067,1264.3419415129329,8941.461736505682,5597.2848320969015,184.00778249104815,0.1996514365077018,298.0133260091146,155.01594060262047,132.14484565798998,134.00091552734384,130.63067665420658,132.99515355428062,134.04635140915556,130.70450213776925,297.9200680516348,21843.802621384297,22983.312612990703,22151.13596009814,22138.848915289254
2019-11-01 06:00:00,6275.842647298177,23410.621354166666,10389.782275390626,33.96067415730337,2071.011456144958,68.05135505740382,5003.758117675781,0.0,,1.15815966129303,0.0,0.0,2451.6189806000534,2208.674291787028,,0.0085128182254266,9.002591808636984,2651.5817342122405,3628.659049479167,4014.297224934896,2132.3489400227872,0.0,2749.8510335286464,3100.4332031250005,0.0,0.0,2783.888881429037,74380.98211518595,1555.0817769368484,0.0,2073.0927530924487,2026.2414167419956,4.331845566630364,0.0,1549.529506429037,1231.485598754885,5794.561413574219,,4997.526529947917,5730.472253417969,8893.099291992188,1272.3161530297646,8938.705562303046,5609.783479817708,183.97559042537915,0.2000443662206331,298.0172629476596,154.99639841715498,132.1782798767091,133.99141693115237,130.63453409494446,133.00530159573597,133.97682571411144,130.672365697225,297.9803991396566,21785.259635416667,22960.66144205729,22095.746647135416,22050.034228515626
2019-11-01 07:00:00,6305.913981119792,23369.246663411457,10386.495418294273,4.777777777777778,2075.185631306967,68.4822489420573,5004.171826171875,0.0,,1.4792422420722395,0.0,0.0,2448.8814758300787,2213.0776102701834,,0.0086261164688039,9.01632649898529,2652.918701171876,3626.9081583658863,4014.500872802735,2141.6470255533864,0.0,2720.4337713068185,3099.47831624349,368.51051592792817,0.0,2778.776485188803,74538.38609506302,1555.0347290039056,0.0,2072.840618896485,2056.3992757161477,4.06239665945371,0.0,1547.3697275797526,1252.1877044677738,5820.677510579427,,4933.056298828125,5765.85712483724,8892.708540482954,1286.90742043888,8936.928076171875,5703.955928548177,183.96448376973476,0.1996187458435694,297.9916076660157,154.9793234432445,132.19412994384774,134.00891677471773,130.65574081805573,133.009707514445,134.02246856689464,130.73706461588552,297.96340839802724,21752.821370442707,22927.95708007813,22047.92674153646,21995.83986002604
2019-11-01 08:00:00,6223.726814778646,23396.66336263021,10373.74784342448,4.725274725274725,2067.633062693699,66.92890602300974,5055.791729887655,0.0,,1.9199438235339,0.0,0.0,2449.5072998046885,2226.9342817826714,,0.0093625550507567,8.999852477001543,2650.033500162761,3630.403837076824,4015.833852132162,2157.456235758465,0.0008893969332546,2720.2322454372384,3174.026014311976,6317.125775146485,3231.445082473755,2772.656446953782,74618.984375,1554.846537272135,0.0,2073.2084533691414,2098.8258846507365,5.1856514573097225,0.0,1546.9523315429688,1284.3149129231774,5846.735274251302,,4872.628658040365,5824.689322916666,8892.865372721355,1318.9415649414068,8934.12958984375,5861.795284016927,183.9951291402181,0.2000083634008963,298.01408894856775,155.07367528279622,132.09550993107592,134.01058578491217,130.5900768280029,133.00236396789552,134.03724811457803,130.53730176289884,298.0319022186532,21749.50685221354,22986.970963541666,21993.54112955729,22101.635335286457
2019-11-01 09:00:00,6432.715973657025,23410.752978515626,10376.726481792355,54.888888888888886,2048.001522827149,65.41656605402629,5068.76474609375,0.0,,2.044327280918757,0.0,0.0,2450.817828369141,2237.2821390787767,,0.0094758532941341,9.001040848096212,2643.574232991537,3632.1724527994793,4016.765002441407,2152.4268768562765,0.002178558472803,2764.1631020790296,3369.4021561047266,7999.976236979167,7984.003385416667,2771.652516682944,74618.984375,1554.775965372721,0.0,2070.94530029297,2084.48849714295,1.026263816297547,0.0,1545.9327513639591,1299.0718577067064,5873.12431398502,,4789.330098470052,5826.0953125,8892.046655273438,1328.2348108212818,8932.448828125,6108.529651988636,183.97689214028605,0.2000389765948057,297.9819631024826,154.86719859730118,131.9726457355403,134.00080108642584,130.53285999140465,133.00359855210488,133.97203101796572,130.54231968398932,298.0852735503382,21727.071044921875,22928.18238932292,22098.85166015625,22126.405908203124
