Date,HPBH:221F003 Stanlow,HPBH:221F004 Stanlow,HPBH:221F008 Stanlow,HPBH:221F011 Stanlow,HPBH:221FT009 Stanlow,HPBH:221Q004 Stanlow,HPBH:221QT004 Stanlow,HPBH:221T017 Stanlow,HPBH:221T028 Stanlow,HPBH:221T034 Stanlow,HPBH:221T035 Stanlow,HPBH:221T036 Stanlow,HPBH:221T044 Stanlow,HPBH:221TT031 Stanlow,HPBH:221TT032 Stanlow,HPBH:221U829 Stanlow
2018-03-27 05:00:00,163.63135454545454,,,,,,,398.834,,7.885272,,,,,,
2018-03-27 06:00:00,160.6103586206897,,,,,,,398.8347,,,,,,,,
2018-03-27 07:00:00,158.2973351851852,-200.0,,,0.0,,-0.25,398.8337,9.199977,,9.115957,8.945476,0.0,,8.808482,0.0
2018-03-27 08:00:00,164.06271538461533,,,0.0,,,,398.8309,,,,,,,,
2018-03-27 09:00:00,165.40391739130436,,,,,,,398.8285,,,,,,,,
2018-03-27 10:00:00,169.28509285714284,-200.0,37.74973,0.0,0.0,-0.25,-0.25,398.8223666666667,9.452024,9.27679,9.001593499999998,8.879219,0.0,12.8621,8.7958245,0.0
2018-03-27 11:00:00,,,,,,,,398.8208,,,,,,,,
2018-03-27 12:00:00,169.93125384615385,,,,,,,398.8238,,,,,,,,
2018-03-27 13:00:00,162.65011320754715,,,0.0,,,,398.8217,,,,,,,,
2018-03-27 14:00:00,170.4659027777777,,,0.0002821423,,,,398.8238,,,,,,,,
2018-03-27 15:00:00,158.34792857142858,,,0.004953867,,,,398.8384,,,,,,,,
2018-03-27 16:00:00,163.81995806451604,,,0.0,,,,398.8384,,,,,,,,
2018-03-27 17:00:00,173.79838,,,,,,,398.8375,,,,,,,,
2018-03-27 18:00:00,172.722528125,-200.0,,,0.0,,-0.25,398.8208,9.704085,9.858955,9.900125,9.442451,0.0,13.03553,9.213469,0.0
2018-03-27 19:00:00,167.3357526315789,,38.11099,,,-0.25,,,,,,,,,,
2018-03-27 20:00:00,164.17922199999998,,,,,,,,,,,,,,,
2018-03-27 21:00:00,158.27403653846147,,,,,,,398.8208,,,,,,,,
2018-03-27 22:00:00,163.58685135135133,,,,,,,398.821,,,,,,,,
2018-03-27 23:00:00,163.27392068965526,,,0.0,,,,398.8214,,,,,,,,
2018-03-28 00:00:00,159.0104136363636,,,,,,,398.8212,,,,,,,,
2018-03-28 01:00:00,159.29242727272722,,,,,,,398.8212,,,,,,,,
2018-03-28 02:00:00,173.77321379310348,-200.0,,,0.0,,-0.25,398.824,9.031937,8.28758,9.181295,8.912348,0.0,12.29493,8.783167,0.0
2018-03-28 03:00:00,168.43954655172422,,38.11099,,,,,398.8234,,,,,,,,
2018-03-28 04:00:00,161.41565,,,,,-0.25,,398.8208,,,,,,,,
2018-03-28 05:00:00,167.37300256410256,,,,,,,,,,,,,,,
2018-03-28 06:00:00,158.34336666666664,,,,,,,,,,,,,,,
2018-03-28 07:00:00,161.95546399999995,,,0.0,,,,,,,,,,,,
2018-03-28 08:00:00,160.92202448979592,,38.11099,,,,,,,,,,,,,
2018-03-28 09:00:00,158.328042,-200.0,,,0.0,,-0.25,,8.233765,6.862931,7.809007,7.62022,0.0,11.92463,7.365714,0.0
2018-03-28 10:00:00,166.130631372549,,,,,,,,,,,,,,,
2018-03-28 11:00:00,161.24877045454548,,,,,,,,,,,,,11.35277,,
2018-03-28 12:00:00,165.50531764705883,,38.69671666666667,,,,,398.8208,,,,,,,,
2018-03-28 13:00:00,165.27778214285715,,36.219913000000005,,,-0.25,,,,,,,,,,
2018-03-28 14:00:00,168.65535675675676,,46.773152,,,,,,,7.246308,,,,13.13865,,
2018-03-28 15:00:00,144.7264216363636,,,0.0,,,,398.8208,,,,,,,,
2018-03-28 16:00:00,242.44887775862065,-200.0,,,0.0,,-0.25,398.8322,7.897697,,7.416924,7.62022,0.0,,7.441649,0.0
2018-03-28 17:00:00,560.0047034482758,,,,,,,398.8254,,,,,,,,
2018-03-28 18:00:00,550.2898913793103,,-16.60222333333333,,,,,398.8219,,,,,,,,
2018-03-28 19:00:00,546.0252629629632,-198.99867407407407,,,,,,398.82145,8.653852,8.24025,8.985259,8.680429,,12.24337,7.745386,
2018-03-28 20:00:00,549.3859,-199.0084,-17.5,0.0,0.0,-0.25,-0.25,398.8223,8.653852,8.022531,8.756542,8.514777,0.0,12.3043,7.720079,0.0
2018-03-28 21:00:00,543.693071698113,-198.6252808510639,,,,,,398.8273,,7.634419,,7.752754,,,,
2018-03-28 22:00:00,551.6293534482758,-198.857104,,,,,,398.8208,,6.5032195,,,,,,
2018-03-28 23:00:00,550.0339396551724,-198.6320189189189,,,,,,,,6.067778,,,,,,
2018-03-29 00:00:00,543.8877396551725,-195.99256379310347,,,,,,,,6.635745,,,,,,
2018-03-29 01:00:00,539.1863965517243,-195.0643305555556,,,,,,,,,,,,,,
2018-03-29 02:00:00,555.5590413793103,-196.80733658536585,,,,,,,,5.395684,,,,,,
2018-03-29 03:00:00,539.8254293103446,-196.580924489796,,0.0,0.0,,-0.25,398.8208,6.301354,5.570807,4.868384,,0.0,11.96213,6.403868,0.0
2018-03-29 04:00:00,535.2756448275863,-194.48649166666667,,,,,,398.8213,,,,,,,,
2018-03-29 05:00:00,551.6063155172413,-194.3213707317073,-17.5,,,-0.25,,398.8212,,,,4.73779,,,,
2018-03-29 06:00:00,551.1538017241379,-194.52424285714287,,,,,,398.8212,,,,,,,,
2018-03-29 07:00:00,548.812948275862,-196.3527254901961,,,,,,398.8215,,4.742523,,,,,,
2018-03-29 08:00:00,553.8683327586206,-196.5767122807018,,,,,,398.821,,,5.227788,5.102242,,,,
2018-03-29 09:00:00,549.5301706896552,-194.6126757575757,,,,,,398.8208,,,,,,,,
2018-03-29 10:00:00,536.2048120689655,-194.6125017857143,,0.0,0.0,,-0.25,398.833,5.713226,,,,0.0,13.37302,5.771073,0.0
2018-03-29 11:00:00,543.6586879310344,-193.5782723404256,,,,,,398.8224,,,9.017928,7.984673,,,,
2018-03-29 12:00:00,550.9632396551724,-195.17376363636367,,,,,,398.8208,,,12.08925,10.784275,,,,
