Date,CDU4:02F001 Stanlow,CDU4:02F002 Stanlow,CDU4:02F003 Stanlow,CDU4:02T003 Stanlow,CDU4:02T071.SP Stanlow,CDU4:02T260 Stanlow,CDU4:13Q001 Stanlow,CDU4:D4DCASA Stanlow,CDU4:02Q001 Stanlow,CDU4:02T071 Stanlow,COIL_SUM
2020-01-19 01:00:00,21.011635,97.04267785714286,1863.4873965517247,191.1875,319.60259999999994,201.0,0.4188738207547171,4.0,2.437076271186441,319.77777777777777,7956.620802733278
2020-01-21 07:00:00,18.514484545454543,92.79496568181818,1800.7412241379309,196.34750000000005,323.1072888888889,207.1875,0.4343018867924529,4.0,2.420743534482757,323.23026315789474,7557.92553026363
2020-01-21 08:00:00,18.80943357142857,91.81103037037036,1798.7005862068966,196.3475,322.9509588235295,208.6875,0.4395156249999999,4.125,2.522916666666666,323.125,7538.735266749378
2020-01-21 09:00:00,18.9907375,90.20866033898308,1755.6538103448277,195.8713,323.90945,212.4375,0.4368608490566037,4.25,2.567075892857143,324.25852272727275,7537.533348191593
2020-01-21 10:00:00,18.8736675,89.34021661016949,1722.4104482758617,196.1922,324.89084,214.125,0.4328037280701754,4.375,2.5599479166666668,325.1983695652174,7543.10403888889
2020-01-21 11:00:00,18.81318266666667,89.93529867924529,1722.1231551724138,196.5131,326.0951055555556,214.125,0.4359016203703705,4.5,2.487877155172414,325.50892857142856,7562.312935535346
2020-01-21 12:00:00,18.64628692307692,92.9065651724138,1794.2806779661018,195.6122,327.72132,212.625,0.4384375,4.625,2.394221698113208,327.61011904761904,7540.27151239037
2020-01-21 13:00:00,18.523675909090908,92.00015500000002,1792.9223220338986,195.84073333333333,327.6572500000001,212.5625,0.4367113636363634,4.75,2.475,327.8125,7507.536841149069
2020-01-22 07:00:00,19.09982181818182,93.20510339285713,1822.6040000000005,190.2676,327.36,209.25,0.4391215909090908,7.0,2.5036458333333327,327.3275,7487.279983644379
2020-01-22 08:00:00,21.098065833333333,92.35936877192984,1821.7462000000007,189.522,327.8332888888889,209.25,0.4358940677966102,6.875,2.575416666666667,327.46875,7489.958149562921
2020-01-22 09:00:00,21.43876,93.40163793103449,1831.5960181818175,189.46608,328.20955000000004,209.0625,0.4331379716981135,6.75,2.5082954545454546,328.20454545454544,7497.573301364712
