Date,CDU4:02F001 Stanlow,CDU4:02F002 Stanlow,CDU4:02F003 Stanlow,CDU4:02F067 Stanlow,CDU4:02F068 Stanlow,CDU4:02F069 Stanlow,CDU4:02F070 Stanlow,CDU4:02Q001 Stanlow,CDU4:02T003 Stanlow,CDU4:02T071 Stanlow,CDU4:02T071.SP Stanlow,CDU4:02T260 Stanlow,CDU4:13Q001 Stanlow,CDU4:13Q022 Stanlow,CDU4:D4DCASA Stanlow
2018-03-25 00:00:00,-2.45322,97.68166089285717,1985.9319821428576,1348.1783333333328,1366.0373571428572,1388.889564102564,1396.2091515151517,3.650877192982456,222.92415,340.95,341.1875,204.49166666666667,0.5231127717391306,0.1,
2018-03-25 02:00:00,-2.45322,97.9486444642857,1988.5670169491527,1350.5732941176468,1364.7251875,1392.3361428571432,1392.5578181818184,3.5678179824561407,223.529975,341.1480263157895,341.1875,203.234375,0.5347685185185186,0.1,
2018-03-25 03:00:00,-2.45322,100.61063491228067,1960.8308571428572,1392.1260000000004,1405.8555714285717,1438.5458181818185,1433.739342857143,3.066949152542372,224.26828,340.58156779661016,341.1875,202.125,0.55534375,0.1,
2018-03-25 04:00:00,-2.45322,94.97577175438596,1964.6071754385969,1403.4463478260873,1416.770058823529,1445.6700714285714,1440.3096904761903,3.842159090909091,229.26158,342.7611607142857,341.1875,213.59722222222223,0.5579236111111109,0.1,
2018-03-25 05:00:00,-2.45322,89.55322464285713,1900.196431034484,1404.071382352941,1410.8350000000005,1447.6335714285713,1437.627177777778,4.5,230.6887833333333,342.1975446428572,341.1875,220.9375,0.5586443965517242,0.1000625,
2018-03-25 06:00:00,-2.45322,85.9622472727273,1803.8234181818184,1357.6291071428573,1361.0459354838708,1399.3460588235296,1387.061818181818,4.5764740566037725,230.0918,341.9174107142857,341.1875,222.15,0.555753537735849,0.1000416666666666,
2018-03-25 07:00:00,-0.8963145952380953,79.71428420000001,1666.7043454545455,1304.5449166666665,1320.5192765957445,1344.372326530612,1330.6395555555555,4.551827830188681,230.47564000000003,343.0729166666667,340.3958333333333,226.1625,0.5544693627450981,0.1,
2018-03-25 08:00:00,5.32484354237288,71.9597475925926,1457.4840204081634,1255.6609090909085,1260.9859999999992,1299.0623389830505,1283.4905,4.6268318965517246,230.6997,340.6304824561403,340.0,229.5892857142857,0.5474609375000002,0.1,
2018-03-25 09:00:00,5.862290094915253,68.40043903846154,1381.79051923077,1254.9547058823523,1260.9123714285706,1300.184237288135,1283.2126999999996,4.784040178571429,231.93675,340.6458333333333,340.0,234.1153846153846,0.5396701388888888,0.1,
2018-03-25 10:00:00,-2.0373442,69.43845923076923,1389.7825416666665,1253.5353902439022,1263.4669999999994,1300.1979433962265,1283.1905652173907,4.78015625,231.76470000000003,339.3179824561403,340.0,232.34722222222223,0.5490492788461541,0.1,
2018-03-25 11:00:00,-2.435955,70.74692439999998,1388.4549019607844,1253.19784375,1263.6863749999998,1300.7704999999996,1282.713057142857,4.595420258620692,232.3285,339.89732142857144,340.0,230.925,0.5624170454545454,0.1,
2018-03-25 12:00:00,-2.435955,70.02838105263157,1370.5085,1252.335457142857,1264.0502068965516,1301.0273965517242,1283.2486428571424,4.559105603448275,232.86915,340.2423245614035,340.0,231.625,0.5607564655172413,0.1,
2018-03-25 13:00:00,-2.435955,71.10155134615384,1384.0803076923075,1250.3660000000002,1262.8168484848482,1302.039471698113,1283.8749999999998,4.57376077586207,232.7287,339.47386363636366,340.0,231.84375,0.5599934210526315,0.1,
2018-03-25 14:00:00,-2.435955,72.22905732142857,1402.126480769231,1249.0798000000004,1264.20964,1301.5036666666665,1285.4255714285714,4.50751096491228,232.7287,339.8344298245614,340.0,231.45,0.5552109375000001,0.1,
2018-03-25 15:00:00,-2.435955,72.7660337735849,1418.694791666666,1247.3232857142857,1266.187,1302.0774736842104,1285.0266578947364,4.443802966101695,228.2219777777778,340.0869565217391,340.0,231.46875,0.5496339285714286,0.1000416666666666,
2018-03-25 16:00:00,-2.435955,73.14853219999998,1453.2940384615392,1246.536666666666,1263.2457222222215,1302.6442586206897,1285.3202682926826,4.418024553571428,226.95572857142855,339.69767441860466,340.0,229.08333333333331,0.5573645833333334,0.1,
2018-03-25 17:00:00,-2.435955,73.8486326923077,1468.515037735849,1245.923379310345,1264.1933333333327,1303.491188679245,1286.1479512195122,4.477640086206897,227.15575,340.07572115384613,340.0,228.85,0.5694910714285716,0.1,
2018-03-25 18:00:00,-2.435955,75.58766236363633,1513.1634107142854,1244.6374186046514,1264.1935609756094,1304.4943148148147,1287.1365945945945,4.455603448275863,226.17621428571428,339.16391509433964,340.0,223.1931818181818,0.5809110576923078,0.1,
2018-03-25 19:00:00,-2.435955,77.2972288888889,1557.657285714287,1244.6628048780487,1263.3484999999996,1305.2485357142857,1287.4043488372097,4.459933035714285,226.5442428571428,340.2349537037037,340.0,222.14583333333331,0.5898042452830188,0.1,
2018-03-25 20:00:00,-2.435955,75.59698145454546,1526.8186363636364,1244.641542857143,1262.611644444444,1305.065912280702,1287.5294117647056,4.466056034482759,226.34467142857144,340.2987804878049,340.0,223.4431818181818,0.5882774122807019,0.1,
2018-03-25 21:00:00,-2.435955,75.6526775,1526.0779137931029,1244.9239534883725,1261.7848372093017,1304.584839285714,1287.528088888889,4.52795138888889,227.3729875,339.94625,340.0,223.15277777777777,0.5877631578947368,0.1,
