Date,FIC-P-D31000-1 Sais,FIC-P-D31000-2 Sais,LIC-C31001 Sais,LIC-D31000 Sais,LIC-D31004 Sais,PIC-BT-F31002 Sais,PIC-D31001 Sais,PIC-D31006 Sais,PIC-F31001A Sais,PIC-F31001B Sais,PIC-F31001C Sais,PIC-F31002 Sais,PIC-P-D31004 Sais,TIC-C31001 Sais,TIC-D31000 Sais,WIC-D31003 Sais
2022-02-12 00:00:00,30864.00413953993,5368.55706108941,51.57544043858846,13.62903465959761,21.89975542492337,4.090277671813964,112.76716772715253,127.53263153500028,3.552753653791216,-0.4293402774466409,3.721677259604136,0.1093798223468992,-0.3041956080330742,100.04067026774088,86.67727629343669,221.3879241095649
2022-02-12 01:00:00,30069.11882595486,5325.887178548177,55.09018132951525,13.456147011121114,21.898791382047865,4.090277671813964,90.8767362382677,105.62065965864392,3.5699363549550376,-0.5800009634759691,3.719169553120931,0.1086757116847568,-0.2927469116118219,100.0462965435452,84.77977068159315,281.973380279541
2022-02-12 02:00:00,20298.79196506077,3856.152345445421,54.67873904969957,28.41740609804789,16.241721388035348,3.97268995642662,123.7937239540948,138.7795784844293,3.2505111989047792,0.8950327931178941,1.9725598161419235,0.1076388359069823,-0.3767746910452842,99.8424654006958,90.60506771935356,568.3473129272461
2022-02-12 03:00:00,31092.01382378472,5590.7927029079865,49.94574667612712,41.54996155632867,21.94452477561103,4.103554027610355,151.36220421261257,166.53002764383953,4.011902009116279,3.50757137272093,0.9483458684550392,0.1076388359069823,-0.2467640840344958,100.03809837765164,94.68894678751629,482.6195988125271
2022-02-12 04:00:00,31993.164149305558,5502.153213161892,50.0139053662618,39.37749156951904,22.01011126306322,4.104166507720948,98.2931456036038,113.3246531592475,3.95055941608217,3.46259644958708,-0.0759066235687997,0.1072530481550428,-0.28908661454916,100.0434030532837,94.67962315877276,383.2224167717828
2022-02-12 05:00:00,31996.383208550345,5559.718587239583,49.998633808559845,35.538596301608614,22.02353393236796,4.102058997419145,52.79835392634074,67.58455512788561,3.869198503759172,3.3949122349421184,-0.0960262027051713,0.1058835003111097,-0.3097222217255168,100.02845363616944,94.50247281392416,281.6647382948134
2022-02-12 06:00:00,30105.93894856771,5687.491547309028,49.99783004124959,35.52043139139811,21.909481133355037,4.100689358181423,36.35288094414605,50.93637485504151,3.859008476469252,3.407663008901808,-0.1190683007240295,0.1043064845932854,-0.3640190975533591,100.04645758734809,94.55825693342425,302.59452116224503
2022-02-12 07:00:00,30001.4466796875,5686.875440809462,49.98312137391832,38.49119096332126,21.895656485027736,4.104817569255829,36.42521890004476,50.85519510904948,3.8591386821534894,3.4194058656692503,-0.132508674595091,0.1035252547926373,-0.3598958338300387,100.03327579498291,94.58880127800836,353.4432874043783
2022-02-12 08:00:00,29998.191552734374,5683.626418728299,50.01937072541978,40.59727003309461,21.89670139418708,4.120481329494052,37.35918214586046,51.48855418099298,3.8557243320677017,3.418933264414469,-0.1324025948842366,0.1037229710155063,-0.3733892737163438,100.02363137139214,94.53269691467284,270.1895258585612
2022-02-12 09:00:00,31517.325,5533.995205349393,50.00747522777981,40.680057197146944,21.99966248406304,4.140263283252716,38.15747167799208,51.84622462590536,3.842129634486304,3.395273922549354,-0.1296103378136952,0.1051166945033603,-0.3547743058866924,100.02250601450602,94.4817377090454,189.6074458228217
2022-02-12 10:00:00,31998.98739149305,5533.168180338542,50.038178306155736,38.8848701900906,22.02642753918966,4.162712211079068,38.96122668584188,52.137988588545056,3.838343942165375,3.394820610682169,-0.1298032538758383,0.1077787184052996,-0.3396701378954781,100.02941837310792,94.58880115085178,125.12056301964654
2022-02-12 11:00:00,31995.008794487847,5550.122972276476,50.03432057698568,36.03170015547011,22.09418402777778,4.185947134759692,40.78510817421808,52.77054461373224,3.841203697522481,3.388951592975193,-0.1298128995630476,0.1117283655537499,-0.3295476474695735,100.03263267940945,94.56854582892524,133.11149660746258
2022-02-12 12:00:00,31996.093842230905,5633.546693250868,49.99292712741429,32.72022879918416,22.03550992012024,4.207171144750383,104.8209229787191,117.03237507078384,3.908588922023773,3.46772763994005,-0.1314187781678305,0.1163435707489649,-0.3091097608208656,100.0253998014662,93.89773036109077,231.5996332804362
2022-02-12 13:00:00,28622.61271701389,5532.307307942709,50.03785701327854,24.21891068352593,21.889387199613783,4.222603217760722,62.5745883623759,74.56677590476141,3.8919463727209305,3.478124986754523,-0.1311776750617557,0.1208188980817794,-0.3454668207301034,100.03359851837158,90.18679222530788,675.2073683844673
2022-02-12 14:00:00,6892.867516411676,1873.69671359592,39.544512054655286,0.9884580664336682,21.30015453232659,4.165769706832037,67.6385671933492,78.60886089536879,3.815369393262598,3.525665518310335,-0.1346981018781662,0.1247347527080111,-0.4549623883432812,99.8627211464776,83.01488560570611,751.4564034356011
2022-02-12 15:00:00,0.0,0.0,7.101578559416036,0.0,12.844007199066173,3.062244445085525,285.80632748074004,298.2727292378744,0.5738329412208663,2.222935954067442,-0.1434220612049102,0.1293113158808814,-0.3633053625623385,95.98427878485784,76.24067594740126,746.3421062893337
2022-02-12 16:00:00,0.0,0.0,0.0,0.0,0.0335165898108647,1.724127126071188,244.4373722076416,256.8897879706489,0.231876927614212,0.5566502534680896,-0.1218364155954784,0.1321421477529737,-0.4071228775713179,93.41820973290338,73.22804137335883,745.5512169731987
2022-02-12 17:00:00,0.0,0.0,0.0,0.0,0.0,4.1118007289038765,214.88683081732856,227.782600318061,-0.0345196742150518,0.110749422179328,-0.1149884194135665,0.1311824348237779,-0.5662470890416039,90.88654299841988,70.32728905147977,748.3265848795573
