Date,CDU4:02F001 Stanlow,CDU4:02F002 Stanlow,CDU4:02F003 Stanlow,CDU4:02T003 Stanlow,CDU4:02T071.SP Stanlow,CDU4:02T260 Stanlow,CDU4:13Q001 Stanlow,CDU4:D4DCASA Stanlow,CDU4:02Q001 Stanlow,CDU4:02T071 Stanlow,COIL_SUM
2018-04-03 19:00:00,0.0,0.5493781529575325,0.32907354599368466,0.4961261834939472,0.9207066295482482,0.649569303054033,0.17875016488456913,0.003703703703703704,0.16459947461177782,0.9106388024158938,0.14008707341679494
2018-04-03 20:00:00,0.020632220665992625,0.5372062314491054,0.3302235111627625,0.489983689537119,0.9207066295482482,0.6494909945184029,0.1374462170178249,0.003716563786008231,0.17853834000219648,0.9089978341093485,0.13967114245073686
2018-04-03 21:00:00,0.0,0.5408283511364426,0.3376452886874597,0.48814101313333547,0.9207066295482482,0.629721101138486,0.13635189888757826,0.003729423868312757,0.17821641759565976,0.9065491874222675,0.1399205782746531
2018-04-03 22:00:00,0.0,0.5513656032628241,0.33798876888062623,0.48606406225671184,0.9207066295482482,0.6315583398590441,0.14006285233964605,0.0037422839506172844,0.15835717842603025,0.9097407976026548,0.14025819802606487
2018-04-03 23:00:00,0.007920997391090222,0.5532225479581977,0.3433604228278535,0.47997318699292446,0.9207066295482482,0.6317541111981209,0.15637881334316367,0.003755144032921811,0.16504282441283402,0.9094923531383858,0.13997326973023494
2018-04-04 00:00:00,0.015922692035711703,0.5412714222936202,0.34572441118801156,0.4723308143498137,0.9207066295482482,0.644675019577134,0.12430600679014481,0.0037680041152263377,0.18986302974489655,0.9133439138060777,0.13982717579869908
2018-04-04 01:00:00,0.03952957454095631,0.5391031443597188,0.3438432149408255,0.4511071785483409,0.9207066295482482,0.6413469068128421,0.132482576637228,0.003780864197530864,0.19075711287407915,0.9070501152772716,0.1397534933771578
2018-04-15 19:00:00,0.01327466036996767,0.8454492133123933,0.6220284690201594,0.550356025415452,0.8134415775413224,0.6076742364917784,0.15492459939943737,0.007407407407407408,0.10855867323337487,0.7833694279892245,0.4370611382958174
2018-04-15 20:00:00,0.007730574413126054,0.8341343915350573,0.6162252282773151,0.5557889744298874,0.811992049811499,0.6229444009397032,0.1534545137268652,0.007407407407407408,0.11013762077046874,0.7808993209984014,0.43028125890911006
2018-04-15 21:00:00,0.001903005451553883,0.7526296114861882,0.5115004079106211,0.5612219234443228,0.8105425220816755,0.6335160532498048,0.1520059492795735,0.007407407407407408,0.12344344108694294,0.8056694259350121,0.34538087233405435
2018-04-15 22:00:00,0.00024864244790002055,0.7206461359252078,0.4603032140540979,0.5500601478500324,0.8090929943518521,0.6053249804228669,0.15048518491006713,0.007407407407407408,0.12024039940829934,0.7811842167740299,0.3178933560063273
2018-04-15 23:00:00,0.0,0.716939880969555,0.4420291228957416,0.5619893518010357,0.8076434666220287,0.6076742364917784,0.14581872985842997,0.007407407407407408,0.13006798666503971,0.7830170462639079,0.31810587519353506
2018-04-16 20:00:00,0.005047348993308336,0.7853580356620039,0.45555750641176784,0.5868861372550835,0.8032948834325584,0.6147220046985122,0.1847318380200153,0.007484567901234567,0.11463418875654074,0.7805859356452092,0.3572862024554835
2018-04-16 21:00:00,0.021011225589096183,0.7891506299046614,0.45695808228894186,0.5845752381931864,0.8032948834325584,0.6139389193422087,0.1770694257842424,0.007561728395061728,0.1216661485505185,0.7801581790893377,0.35755329240971956
2018-04-16 22:00:00,0.021246942302683196,0.7940264396104345,0.4576698472461107,0.5809174240562425,0.8032948834325584,0.6131558339859042,0.18556632302791304,0.0076388888888888895,0.11326119089819797,0.7835108656083318,0.35740851370930593
2018-04-16 23:00:00,0.008262703373554755,0.7848573331587126,0.4509886947224855,0.5794667495350074,0.8032948834325584,0.6123727486296016,0.181424728469962,0.007716049382716049,0.11176233490284082,0.7829917221949638,0.35712540995575104
2018-04-17 00:00:00,0.01647677613797261,0.7962449697049147,0.47958535984385375,0.5528197575735583,0.8032948834325584,0.6053249804228669,0.1822325044104161,0.007793209876543209,0.10378750567563422,0.7797490635063604,0.3573613852940314
2018-04-17 01:00:00,0.0,0.806713116650101,0.4961115025989551,0.5387010335354445,0.8032948834325584,0.5982772122161322,0.17468147697240766,0.007870370370370371,0.12152206134589294,0.7789234447406996,0.35726889306022036
2018-04-18 19:00:00,0.0,0.7625045486004735,0.41594341884650077,0.6252356285662415,0.8127168136764107,0.6370399373531717,0.15375809585039307,0.011111111111111112,0.1090185091540351,0.7952603071083817,0.3452574616195425
2018-04-18 20:00:00,0.0,0.7859697130215065,0.4526632639947268,0.6227704607428417,0.8134415775413224,0.6194205168363354,0.15507609336684564,0.012962962962962964,0.103228416293487,0.7920197527737769,0.3605108048268555
2018-04-18 21:00:00,0.0,0.8110813099276505,0.5134115027662236,0.6064720052446155,0.8141663414062332,0.6053249804228669,0.1559190546064133,0.014814814814814815,0.09239931697387249,0.7919688352308989,0.37744640760989623
2018-04-19 00:00:00,0.02654516201174924,0.8473812239217787,0.5636578540081365,0.578247673928566,0.8163406330009684,0.6106108065779177,0.15117912955618096,0.020370370370370372,0.11401176306075878,0.7969193711827551,0.39675357611858875
2018-04-19 01:00:00,0.03540384715212643,0.8531558599903933,0.5734378231435919,0.5722830719530645,0.8163406330009684,0.6088488645262338,0.143760175949735,0.022222222222222223,0.11208270106978757,0.7952157992397191,0.39737078067251486
