,TotalCostUSD,Mode,ProgressType,Type,StateType,LoadingPosition,Plan,ShipmentType,EquipmentLength,EquipmentWidth,EquipmentHeight,MinTemp,MaxTemp,TotalValue,Miles,TotalWeight,Tarps,Repeat,TankerUnload,TankerVolume,TankerVolumeUnit,NumStops,TotalPallets,LoadCommodityMasterLinkID,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,TotalRateUSD,CommodityID,TimeTravel,TimeNegotiate,LoadDate-Month,LoadDate-Day,DelDate-Month,DelDate-Day,CreateDate-Month,CreateDate-Day,Volume_Last_30,Avg_Cost_Last_30,Avg_Rate_Last_30,NTIBooked,NTIAssumed,TenderVolume,S/D Ratio,Avg_Weight_Last_14,Avg_Dist_Last_14,USD/Mile,Avg_Cost_Last_14,Avg_Rate_Last_14,Cost_Volatility_Last_14,Rate_Volatility_Last_14,TRUCKD11,DJTA,DTB3,GASREGW,IPG2122N,IPG3361T3S,GDP,PPIACO,BUSINV,PCU48414841
856,7365.0,1,8,1,1,2,0,1,53,102,110,-10,-10,100000.0,2176,42250,3,28238265,0,0,1,2,0,1,42.536,-113.793,35.228,-80.843,7770.0,0,5,21,1,6,1,11,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
857,3400.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,1648,45000,3,28300945,0,0,1,2,0,1,31.738,-99.947,43.582,-79.612,3153.5497,0,3,32,1,17,1,20,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
858,2100.0,1,8,1,1,2,0,1,53,0,0,41,41,250000.0,1060,40000,0,28289835,0,0,1,2,0,1,43.579,-70.316,38.103,-85.739,2505.32,0,2,3,12,19,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
859,1400.0,1,8,1,1,2,0,0,53,0,0,-10,-10,50000.0,131,20346,0,0,0,0,1,3,0,3,40.574,-75.624,40.86,-73.871,1505.81,0,1,5,12,21,12,22,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
860,1239.72,1,8,1,1,2,0,0,53,0,0,-9999,-9999,100000.0,322,14256,0,0,0,0,1,2,10,2,43.22,-78.387,40.624,-75.38,1513.74,0,1,4,12,20,12,21,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
861,1025.0,1,8,1,1,2,0,1,53,0,0,65,77,100000.0,287,1580,3,28228972,0,0,1,2,4,3,39.879,-84.192,36.717,-85.963,1450.0,0,1,3,12,19,12,20,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
862,2600.0,1,8,1,1,2,0,0,53,0,0,-9999,-9999,100000.0,1217,44435,0,0,0,0,1,2,0,4,36.016,-83.416,34.185,-101.709,3395.43,0,3,4,12,20,12,23,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
863,1100.0,1,8,1,1,2,0,1,53,0,0,-9999,-9999,100000.0,535,42000,0,28190335,0,0,1,2,0,1,36.724,-86.584,31.847,-81.595,1300.0,0,11,3,12,19,12,30,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
864,5947.08,1,8,2,1,0,0,1,53,0,0,-10,-10,100000.0,1999,43092,0,0,0,0,1,2,21,2,46.268,-119.302,32.74,-97.096,6316.38,0,4,27,1,12,1,16,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
865,180.64,2,8,1,1,0,0,1,53,0,0,-9999,-9999,100.0,31,150,0,0,0,0,1,2,1,2,42.089,-83.288,42.446,-83.125,258.05,0,4,0,12,16,12,20,12,16,209057,1582.47823276714,1831.13065675103,1256.569080535091,1486.189233055448,6811.785714285715,0.3828429737685425,26271.3493105437,632.8848424474388,831.9407999393985,1423.997363139157,1677.760836440421,1387.591605252777,1568.66158109487,115.9,13738.04,4.2,3.239,91.7098,102.9025,26137.992,257.897,2545624,207.137
