Date,OXO-5FI635C Augusta,OXO-5FI696 Augusta_time_lag_1,OXO-5FIC600 Augusta,OXO-5FIC602 Augusta,OXO-5FIC612B Augusta,OXO-5FIC622C Augusta,OXO-5FIC636C Augusta,OXO-5LI633B Augusta,OXO-5LI656F Augusta,OXO-5LI658E Augusta
2019-11-01 00:00:00,0.7135026362989958,,0.8793784707232213,0.5352328038740808,0.7703687055793971,0.5280142847787277,0.941418881741884,1.0,0.0037582193285849996,1.0
2019-11-01 01:00:00,0.7559579128039888,9830.2001953125,0.8308135081131596,0.5305431017983011,0.7759469994711701,0.7640704989279363,0.9434340400116512,0.9997715815825877,0.0,0.963106769028343
2019-11-01 02:00:00,0.9559649037621027,9384.63299153646,0.8123992288988653,0.536968008639569,0.7730628549803384,0.8457226549835519,0.9412329999972586,0.9996267407743883,0.0007092691215007108,0.8723530949332599
2019-11-01 03:00:00,0.9364928314616443,9233.277262369793,0.768138280208845,0.5046526840052117,0.7702313253481563,0.8450219823496423,0.9411468722156799,0.9990473775415906,0.002275799600214512,0.79375763297503
2019-11-01 04:00:00,0.8647987433414386,9223.139013671876,0.708587958646234,0.27232840634207633,0.7720095939761151,0.8408335742398967,0.9482305329868153,0.9987094156557922,0.006796760787509015,0.7133895321224486
2019-11-01 05:00:00,0.9416355428858729,9104.168619791666,0.7214038196997485,0.27309490573058426,0.7721707947501102,0.7675797919109939,0.9993473648255606,0.998582417555849,0.013995648764762336,0.6286341796310353
2019-11-01 06:00:00,0.9078155115198769,9838.639911042545,0.8374150778943168,0.27081457004977594,0.780661803702074,0.7676748346084399,1.0,0.9983987426179152,0.04519540130985078,0.4877219687141974
2019-11-01 07:00:00,0.9218376112813562,10389.782275390626,0.8713439731832118,0.2724868162157037,0.8104067371252555,0.7669342453986114,0.9958988523212788,0.9983462640642197,0.1023482571719132,0.3968461814080797
2019-11-01 08:00:00,0.8835141816528207,10386.495418294273,0.809954525041686,0.4811390118780601,0.7747292901139353,0.8247517962269766,0.9909893775032454,0.9981363498494383,0.1973727125964011,0.2537707200169166
2019-11-01 09:00:00,0.980964692236888,10373.74784342448,0.6503837273055879,0.5335770855844544,0.7773029206943498,0.9762812237134517,0.9901840278968432,0.9980576320188951,0.19964363564279886,0.16784006672696705
2019-11-01 10:00:00,0.9691831274894795,10376.726481792355,0.6702874146035818,0.5323532938051692,0.7788494873374745,0.9999999999999998,0.9913379776937119,0.997672283300231,0.20544074743610707,0.19091417713195824
2019-11-01 11:00:00,0.9354021348275108,10385.354845063026,0.6004889466505361,0.510640752369163,0.7694831513522473,0.9912020470997496,0.9881124093957396,0.9976640428661797,0.21041658710227296,0.14157806938197837
2019-11-01 12:00:00,0.9345072006381088,10399.763362630209,0.5192461834540261,0.2726388385944247,0.7524183472297743,0.7828875928575088,0.9949084116978923,0.9972442144366164,0.11218887331962435,0.4726615341165257
2019-11-01 13:00:00,1.0,10415.00702311198,0.8853111126677646,0.27309490573058426,0.7026969057523935,0.8332908214778072,0.9976815529875163,0.9971264684379889,0.1402062049690631,0.43741539204057744
2019-11-01 14:00:00,0.7810453724570166,10405.199477014465,0.8076515190310509,0.272039543762606,0.6764314318885454,0.6356198018081021,0.9936746240362111,0.9968655881773095,0.1869640690555645,0.3871577012088778
2019-11-01 15:00:00,0.8216269857229856,10420.073518880208,0.7174628521748829,0.27248170621977863,0.6673489501760912,0.6403552554550227,0.9914390184094901,0.9970470891130713,0.183825382548239,0.40432877802038547
2019-11-01 16:00:00,0.8817420023377514,10405.669547526042,0.7318849562157936,0.27294288335186323,0.6679846973949637,0.6895681850918114,0.9912324849556713,0.9969957002939097,0.18736778395616227,0.41946619684910047
2019-11-01 17:00:00,0.8699209052645029,10396.791097689076,0.6800430379687725,0.27309490573058426,0.6680756272932129,0.6897355591697807,0.9911318573342505,0.996375168452749,0.18889479749324778,0.4036063989756258
2019-11-01 18:00:00,0.8942528416919746,10396.95663578254,0.790763427605448,0.3656398404487078,0.6556559813492129,0.653841631140468,0.92959075186719,0.9962532958638973,0.18857178166622113,0.4006157266543937
2019-11-01 19:00:00,0.8425686462696076,10336.595374868695,0.7788747324052352,0.531240755823994,0.6684463644569476,0.47760583009607216,0.8202413331873579,0.9957422759605105,0.18227785945128971,0.3814484418346069
2019-11-01 20:00:00,0.8104930207408181,10155.94965457128,0.8863306105298179,0.5328932019430859,0.6542729802519709,0.37990398683602833,0.8216800565524558,0.99556175087047,0.18147994385627086,0.3808543225686094
2019-11-01 21:00:00,0.8104551961383004,10158.636564127604,0.8378096739751726,0.5321493285086198,0.6718120395532949,0.3793712866628718,0.8253166503508353,0.9953312970960083,0.18335591186643185,0.3706465937525536
2019-11-01 22:00:00,0.5977967855945607,10154.23055826823,0.9061917593597464,0.5348263730258154,0.6695730403590403,0.37986436217482544,0.8245582276078345,0.9950647044648296,0.20848981007717882,0.3491893791414782
2019-11-01 23:00:00,0.8284022595284846,10166.29090983073,0.9825505436158117,0.535842617473385,0.676897177444669,0.37942628812892676,0.8223526727303985,0.9950752285734813,0.22989956228424901,0.3391821246901827
2019-11-02 00:00:00,0.8168025881542147,10160.849348958332,0.9673904076740278,0.5300136918741742,0.670959995530577,0.38770770346372685,0.8219331454508296,0.995038244689857,0.24351227913293982,0.3467037614477704
2019-11-02 01:00:00,0.8568567705933265,10163.938435530465,0.8753660797096003,0.5344694337568505,0.6588109200288947,0.41909723753870476,0.8203432186383659,0.9946895266719235,0.26082077165004236,0.3716850909860341
